;01_R110_3_2_1_1;01_R110_3_4_1_1;01_R110_3_6_1_1;01_R110_3_8_1_1;01_R110_3_10_1_1;01_R110_3_12_1_1;01_R110_3_14_1_1;01_R110_3_16_1_1;01_R110_3_18_1_1;01_R110_3_20_1_1
8.1920000000e-03;1.0001876983e+00;1.0001964351e+00;1.0000871439e+00;1.0000607534e+00;1.0001085309e+00;1.0001627128e+00;1.0001446915e+00;1.0001747984e+00;9.9994198522e-01;1.0000746577e+00
9.0112000000e-03;1.0001406180e+00;1.0001828868e+00;1.0000669015e+00;1.0002703976e+00;1.0000859757e+00;1.0002037814e+00;1.0002756116e+00;1.0000152936e+00;1.0000971270e+00;1.0000140915e+00
9.8304000000e-03;1.0000208888e+00;1.0000761257e+00;1.0001830482e+00;1.0001485704e+00;1.0001266170e+00;1.0000423965e+00;1.0002918955e+00;1.0001174907e+00;1.0001988918e+00;1.0001966797e+00
1.0649600000e-02;1.0000980594e+00;1.0001415427e+00;9.9988040875e-01;1.0000977452e+00;1.0002242404e+00;1.0000023029e+00;1.0001271767e+00;1.0000128053e+00;1.0001513480e+00;1.0001328110e+00
1.1468800000e-02;9.9999817730e-01;1.0000190508e+00;9.9999134892e-01;1.0000130672e+00;1.0001859452e+00;1.0001157385e+00;9.9998813510e-01;1.0001777590e+00;9.9997911313e-01;1.0000592732e+00
1.2288000000e-02;9.9995462292e-01;1.0000602600e+00;1.0000880860e+00;1.0000942556e+00;1.0001406224e+00;9.9994041676e-01;9.9988124665e-01;1.0001540338e+00;1.0000145102e+00;1.0001528620e+00
1.3107200000e-02;1.0000190156e+00;1.0000827809e+00;9.9998834645e-01;1.0001515439e+00;1.0001969669e+00;1.0000888695e+00;1.0000209572e+00;9.9992039642e-01;1.0002152352e+00;1.0002036935e+00
1.4745600000e-02;1.0001008254e+00;9.9994761543e-01;1.0000652718e+00;9.9994980855e-01;1.0000774896e+00;9.9999533334e-01;1.0000389887e+00;1.0001807556e+00;1.0000113639e+00;1.0001175379e+00
1.6384000000e-02;9.9998927465e-01;9.9997647176e-01;1.0000342508e+00;1.0000944551e+00;1.0000842540e+00;1.0000035693e+00;1.0000853929e+00;1.0000257460e+00;1.0000038215e+00;1.0000557306e+00
1.8022400000e-02;9.9992378557e-01;1.0000207955e+00;1.0000768026e+00;1.0001124536e+00;1.0000091217e+00;9.9999831180e-01;1.0000553371e+00;1.0000378087e+00;1.0000046522e+00;1.0001401085e+00
1.9660800000e-02;9.9994894238e-01;9.9999846180e-01;1.0000670524e+00;1.0001000455e+00;1.0001702870e+00;1.0000068728e+00;9.9993127770e-01;1.0000222137e+00;1.0000054508e+00;1.0000169242e+00
2.1299200000e-02;1.0000811406e+00;1.0000943451e+00;1.0001053780e+00;9.9995736688e-01;1.0000829211e+00;9.9999601236e-01;1.0000929626e+00;1.0000804627e+00;1.0000440642e+00;9.9996388691e-01
2.2937600000e-02;1.0000267969e+00;1.0001589052e+00;1.0000571101e+00;1.0002384420e+00;9.9994783484e-01;1.0000344791e+00;1.0000474068e+00;1.0001259285e+00;9.9995393538e-01;9.9998507791e-01
